Name,XPM,GPM,Kills,Deaths,Assists,winrate_wilson,sum
Vici Gaming,518.21 ,499.37 ,6.10 ,4.13 ,10.35 ,0.55 ,22403 
TNC Predator,498.02 ,473.90 ,6.40 ,4.96 ,10.91 ,0.55 ,26395 
Team Serenity,483.40 ,461.61 ,6.02 ,4.73 ,9.70 ,0.48 ,14177 
Mineski,477.76 ,458.34 ,5.54 ,4.38 ,10.29 ,0.56 ,39167 
Fnatic,467.47 ,441.26 ,5.59 ,4.50 ,10.82 ,0.58 ,52533 
Virtus.pro,461.50 ,437.78 ,5.58 ,4.67 ,10.92 ,0.60 ,52621 
paiN Gaming,452.63 ,424.95 ,5.25 ,4.94 ,10.31 ,0.53 ,41289 
Newbee,450.50 ,432.38 ,5.56 ,4.37 ,10.04 ,0.55 ,45539 
PSG.LGD,449.38 ,425.02 ,5.46 ,4.42 ,10.76 ,0.60 ,45764 
Team Liquid,444.48 ,423.01 ,5.58 ,4.88 ,10.71 ,0.63 ,51933 
Evil Geniuses,432.65 ,404.88 ,4.99 ,4.50 ,10.18 ,0.61 ,64053 
Team Secret,415.63 ,381.64 ,4.57 ,4.59 ,11.40 ,0.61 ,52746 
OG,394.12 ,365.12 ,4.40 ,5.08 ,10.86 ,0.58 ,42959 
EHOME,352.07 ,320.97 ,3.52 ,5.26 ,12.12 ,0.52 ,23395 
VGJ Thunder,348.34 ,278.91 ,2.99 ,5.43 ,13.51 ,0.44 ,5811 
iG.Vitality,322.02 ,263.82 ,2.83 ,6.78 ,12.50 ,0.28 ,1300 